                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.61246,                0.38439,                0.98144,                0.95981,                0.95823,                0.97567,                0.84363,                0.55657,                 0.2844,                0.98572,               0.008845,               0.008845,               0.008845
                     38,                0.61193,                0.39151,                0.98064,                0.96833,                0.95532,                0.98157,                0.85092,                0.55617,                0.27624,                0.98637,               0.008812,               0.008812,               0.008812
                     39,                0.60975,                0.38481,                0.97538,                0.95183,                0.97339,                0.98067,                0.84895,                0.55137,                0.27692,                0.98383,               0.008779,               0.008779,               0.008779
                     40,                0.60841,                0.38728,                0.97655,                0.95748,                0.95583,                0.98005,                0.84831,                0.54993,                0.27764,                0.97949,               0.008746,               0.008746,               0.008746
                     41,                0.60659,                0.38273,                0.97626,                0.96363,                0.95438,                0.98058,                0.85873,                0.55108,                0.27495,                0.98331,               0.008713,               0.008713,               0.008713
                     42,                0.60689,                0.38193,                0.97588,                0.96336,                0.95617,                0.98278,                 0.8577,                0.54657,                0.27594,                0.97857,                0.00868,                0.00868,                0.00868
                     43,                0.60665,                0.37745,                0.97848,                0.96547,                0.95726,                 0.9825,                 0.8598,                0.54905,                0.27145,                0.98103,               0.008647,               0.008647,               0.008647
                     44,                0.60427,                0.37955,                0.97615,                0.96581,                0.95965,                0.98351,                0.85712,                0.54578,                0.26682,                0.98078,               0.008614,               0.008614,               0.008614
                     45,                0.59759,                0.37436,                0.97136,                0.96078,                0.95621,                0.98113,                0.85835,                0.54407,                0.27289,                0.97987,               0.008581,               0.008581,               0.008581
                     46,                0.59518,                0.37512,                0.96839,                0.95591,                0.95712,                0.98203,                0.85605,                0.54417,                0.27034,                0.97921,               0.008548,               0.008548,               0.008548
                     47,                0.59647,                0.37672,                0.97158,                0.95227,                0.96709,                0.98105,                0.85801,                0.53905,                0.27183,                0.97681,               0.008515,               0.008515,               0.008515
                     48,                0.59148,                0.36902,                 0.9688,                  0.964,                0.95776,                0.98367,                0.86111,                0.54158,                0.26952,                0.97724,               0.008482,               0.008482,               0.008482
