                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.67771,                0.49149,                 1.0411,                0.95453,                0.96571,                0.98055,                0.81083,                0.65308,                0.39607,                 1.0397,               0.008845,               0.008845,               0.008845
                     38,                0.68002,                0.49754,                 1.0433,                0.95799,                0.94613,                0.97688,                0.81792,                0.62961,                0.37545,                 1.0314,               0.008812,               0.008812,               0.008812
                     39,                0.68072,                0.50169,                 1.0506,                0.95972,                0.96258,                0.97298,                0.80553,                0.63317,                0.38048,                 1.0421,               0.008779,               0.008779,               0.008779
                     40,                0.67372,                 0.4992,                 1.0472,                0.96281,                0.94946,                0.98325,                0.82319,                 0.6187,                0.38283,                 1.0712,               0.008746,               0.008746,               0.008746
                     41,                0.66774,                0.48559,                 1.0349,                0.94264,                0.95442,                0.97811,                0.81703,                0.62362,                0.36951,                 1.0166,               0.008713,               0.008713,               0.008713
                     42,                  0.663,                 0.4771,                 1.0324,                0.94884,                0.95048,                0.98013,                0.81851,                0.61961,                0.36172,                 0.9778,                0.00868,                0.00868,                0.00868
                     43,                0.66607,                 0.4818,                 1.0358,                0.96353,                0.95691,                0.97752,                0.80558,                0.62781,                0.37331,                 1.0394,               0.008647,               0.008647,               0.008647
                     44,                0.66325,                0.47859,                 1.0384,                0.96475,                0.94985,                0.98233,                0.83127,                0.62476,                0.35221,                0.97963,               0.008614,               0.008614,               0.008614
                     45,                 0.6536,                0.47765,                 1.0294,                0.93952,                0.96565,                0.98418,                0.82322,                0.62813,                 0.3684,                  1.033,               0.008581,               0.008581,               0.008581
                     46,                0.64912,                0.45795,                 1.0323,                0.95183,                0.95162,                0.98141,                0.82059,                0.62135,                0.36849,                 1.0495,               0.008548,               0.008548,               0.008548
                     47,                0.65183,                0.47092,                 1.0284,                0.95556,                0.96712,                0.98396,                0.83002,                0.61136,                 0.3565,                0.98931,               0.008515,               0.008515,               0.008515
                     48,                 0.6485,                0.46162,                 1.0309,                0.94806,                0.97404,                0.97499,                 0.8064,                0.62358,                0.37555,                 1.0271,               0.008482,               0.008482,               0.008482
                     49,                0.64767,                0.46525,                 1.0223,                0.96597,                0.95767,                0.97408,                0.80493,                0.62286,                0.35526,                 1.0191,               0.008449,               0.008449,               0.008449
                     50,                0.64808,                0.46641,                 1.0287,                0.95062,                0.95174,                0.97246,                0.80856,                0.61932,                0.35899,                 1.0291,               0.008416,               0.008416,               0.008416
                     51,                0.64387,                0.46005,                 1.0261,                0.94409,                0.96996,                0.97362,                0.82654,                0.60293,                0.35446,                 1.0239,               0.008383,               0.008383,               0.008383
                     52,                0.64477,                0.45013,                 1.0268,                0.96061,                 0.9461,                 0.9755,                0.83116,                0.59701,                0.35775,                 1.0122,                0.00835,                0.00835,                0.00835
                     53,                 0.6439,                 0.4627,                 1.0246,                0.97085,                0.95741,                0.97945,                0.81271,                0.60986,                0.34952,                0.99172,               0.008317,               0.008317,               0.008317
                     54,                 0.6352,                0.45531,                 1.0209,                0.93451,                0.96604,                0.97647,                0.82384,                0.59993,                0.33875,                0.97884,               0.008284,               0.008284,               0.008284
                     55,                0.63169,                0.43575,                 1.0238,                0.96239,                0.96521,                0.98351,                0.82829,                0.60853,                0.33749,                 1.0364,               0.008251,               0.008251,               0.008251
                     56,                0.62795,                0.44888,                  1.021,                0.96233,                0.96126,                 0.9802,                0.83492,                0.60029,                0.34313,                 1.0324,               0.008218,               0.008218,               0.008218
                     57,                0.63536,                0.44733,                 1.0202,                0.94546,                0.95395,                0.97313,                0.83085,                0.59234,                0.34876,                 1.0461,               0.008185,               0.008185,               0.008185
                     58,                0.62995,                0.44253,                 1.0189,                0.96295,                0.95663,                0.97697,                0.82494,                0.60044,                0.33967,                 1.0392,               0.008152,               0.008152,               0.008152
                     59,                0.62748,                0.44028,                   1.02,                 0.9562,                 0.9612,                 0.9776,                 0.8336,                0.59252,                0.32614,                 1.0053,               0.008119,               0.008119,               0.008119
                     60,                0.63761,                0.44758,                 1.0184,                0.94784,                0.96609,                0.97891,                0.82042,                0.61612,                0.34738,                0.99587,               0.008086,               0.008086,               0.008086
                     61,                0.62263,                0.42958,                 1.0135,                0.96153,                0.95189,                0.97853,                0.83491,                 0.5947,                0.32917,                 1.0157,               0.008053,               0.008053,               0.008053
                     62,                0.62423,                 0.4369,                 1.0177,                0.96364,                0.95159,                0.97731,                0.83154,                0.59568,                0.33194,                0.98877,                0.00802,                0.00802,                0.00802
                     63,                0.62395,                0.43134,                 1.0144,                0.95814,                0.95781,                0.98346,                0.83506,                0.59817,                0.33028,                  1.003,               0.007987,               0.007987,               0.007987
                     64,                0.62837,                0.43953,                 1.0145,                0.96847,                0.95987,                0.98078,                0.82438,                0.61594,                0.34775,                 1.0103,               0.007954,               0.007954,               0.007954
                     65,                0.62411,                0.43794,                 1.0214,                0.96267,                0.95748,                0.97947,                0.82383,                0.59474,                0.32165,                0.99372,               0.007921,               0.007921,               0.007921
                     66,                0.62792,                0.43379,                 1.0285,                 0.9563,                0.96611,                0.98594,                0.82862,                0.59613,                0.32573,                 1.0007,               0.007888,               0.007888,               0.007888
                     67,                0.61244,                0.43124,                 1.0127,                0.96028,                0.95491,                0.98339,                0.84211,                 0.5842,                0.33324,                0.98786,               0.007855,               0.007855,               0.007855
                     68,                0.62183,                0.43604,                 1.0074,                0.97372,                0.94952,                0.98308,                0.83376,                0.59169,                0.32822,                0.99969,               0.007822,               0.007822,               0.007822
                     69,                0.62271,                0.43364,                 1.0198,                0.96567,                0.95774,                0.97808,                0.82891,                0.59193,                0.31805,                0.99294,               0.007789,               0.007789,               0.007789
                     70,                0.61541,                0.42626,                 1.0125,                0.95076,                0.95711,                0.97293,                0.82363,                0.59084,                0.33035,                0.98536,               0.007756,               0.007756,               0.007756
                     71,                0.61054,                0.42204,                 1.0043,                0.95734,                0.96218,                0.98044,                0.83804,                0.58571,                0.32452,                0.98219,               0.007723,               0.007723,               0.007723
                     72,                0.61213,                 0.4225,                 1.0064,                0.95191,                0.95567,                0.97659,                0.82773,                0.59717,                0.32488,                0.96385,                0.00769,                0.00769,                0.00769
                     73,                0.61481,                0.42235,                 1.0146,                 0.9455,                0.97091,                0.97564,                0.82314,                0.60041,                0.34389,                 1.0143,               0.007657,               0.007657,               0.007657
                     74,                0.61252,                0.41636,                 1.0092,                0.97346,                0.95521,                0.98433,                0.84348,                0.58596,                0.32711,                 1.0421,               0.007624,               0.007624,               0.007624
                     75,                0.61752,                0.42669,                 1.0202,                0.96558,                0.96462,                0.98542,                0.84181,                0.59407,                0.32949,                 1.0611,               0.007591,               0.007591,               0.007591
                     76,                0.60442,                0.41371,                 1.0056,                0.94978,                0.97664,                0.98015,                0.83032,                0.58992,                0.30914,                0.98927,               0.007558,               0.007558,               0.007558
                     77,                0.60556,                0.40909,                 1.0029,                0.96311,                0.96828,                0.98555,                0.84091,                 0.5849,                0.31247,                0.99105,               0.007525,               0.007525,               0.007525
                     78,                0.59757,                0.41878,                 1.0026,                0.96536,                0.96945,                0.98009,                0.82674,                0.59798,                0.30846,                0.98649,               0.007492,               0.007492,               0.007492
                     79,                0.59316,                 0.4077,                0.99834,                 0.9557,                0.96141,                0.98003,                0.82796,                0.58906,                0.31645,                0.97638,               0.007459,               0.007459,               0.007459
                     80,                0.60736,                0.41247,                 1.0065,                0.95665,                0.96379,                 0.9807,                0.82879,                0.59375,                0.31465,                0.98016,               0.007426,               0.007426,               0.007426
                     81,                0.60332,                 0.4053,                 1.0023,                0.95817,                0.96497,                0.98084,                0.82808,                0.58943,                0.31307,                0.98673,               0.007393,               0.007393,               0.007393
                     82,                    0.6,                0.41791,                 1.0078,                0.95318,                0.96409,                0.97589,                0.84388,                0.58601,                 0.3342,                 1.0061,                0.00736,                0.00736,                0.00736
                     83,                0.59883,                0.41035,                 1.0087,                 0.9645,                0.95729,                 0.9813,                0.83299,                0.58003,                0.31663,                0.99856,               0.007327,               0.007327,               0.007327
                     84,                0.59981,                0.41173,                0.99749,                0.93334,                 0.9719,                0.97907,                0.83659,                0.58111,                0.30121,                0.97242,               0.007294,               0.007294,               0.007294
                     85,                0.59394,                0.39606,                 1.0021,                 0.9563,                0.97501,                 0.9824,                0.84416,                0.58167,                0.31284,                0.99333,               0.007261,               0.007261,               0.007261
                     86,                0.59746,                0.40992,                 1.0014,                0.95006,                0.97487,                0.97992,                0.84559,                0.58287,                0.30229,                0.98452,               0.007228,               0.007228,               0.007228
                     87,                0.59521,                0.40241,                  1.002,                0.95423,                0.96187,                0.98104,                0.84499,                0.57966,                0.30637,                 1.0105,               0.007195,               0.007195,               0.007195
                     88,                0.59435,                0.39909,                0.99874,                0.97112,                0.96083,                0.98009,                0.84448,                0.57516,                0.29982,                 1.0038,               0.007162,               0.007162,               0.007162
                     89,                0.58402,                0.39021,                0.99636,                 0.9685,                0.95809,                0.98187,                0.84196,                0.58578,                0.30209,                0.98301,               0.007129,               0.007129,               0.007129
                     90,                0.58974,                0.40048,                0.99525,                0.95929,                0.97235,                0.98594,                 0.8415,                0.57982,                0.30524,                 1.0069,               0.007096,               0.007096,               0.007096
                     91,                0.58955,                0.40125,                 1.0002,                0.95025,                0.97295,                0.97925,                0.84062,                0.57456,                0.30612,                 1.0052,               0.007063,               0.007063,               0.007063
                     92,                 0.5838,                0.39836,                0.99876,                0.95388,                0.96806,                0.97557,                 0.8424,                0.57602,                0.30356,                 1.0105,                0.00703,                0.00703,                0.00703
                     93,                0.57967,                0.39105,                0.99419,                0.95928,                0.97978,                0.98566,                0.84516,                0.56827,                 0.2966,                0.97863,               0.006997,               0.006997,               0.006997
                     94,                0.58815,                0.39338,                0.99356,                0.96714,                0.97025,                0.98562,                0.84964,                0.57432,                0.28752,                  0.953,               0.006964,               0.006964,               0.006964
                     95,                 0.5911,                 0.3912,                0.99552,                 0.9601,                0.97376,                0.98577,                0.84206,                0.57078,                 0.2877,                0.96421,               0.006931,               0.006931,               0.006931
                     96,                0.58003,                  0.391,                0.99284,                0.95552,                 0.9662,                0.97967,                 0.8446,                0.58059,                 0.3031,                0.96787,               0.006898,               0.006898,               0.006898
                     97,                0.58755,                0.39766,                0.99219,                0.96291,                0.97144,                0.98088,                0.84776,                0.57909,                0.29492,                0.96176,               0.006865,               0.006865,               0.006865
                     98,                0.57786,                0.37883,                0.99068,                0.94937,                0.96987,                0.98494,                0.84662,                0.56872,                0.28711,                0.96424,               0.006832,               0.006832,               0.006832
                     99,                0.57849,                0.38978,                0.98829,                0.96584,                0.96467,                0.98669,                0.85183,                0.57778,                0.29262,                0.96693,               0.006799,               0.006799,               0.006799
                    100,                0.57783,                0.37684,                0.98873,                0.95953,                 0.9616,                0.98554,                0.85438,                0.57386,                0.28962,                0.95406,               0.006766,               0.006766,               0.006766
                    101,                0.58082,                0.39357,                0.99073,                0.94632,                0.96708,                0.98409,                0.84826,                0.58091,                0.29623,                0.96759,               0.006733,               0.006733,               0.006733
                    102,                0.58071,                0.38994,                0.99534,                  0.971,                0.95931,                0.98753,                0.84779,                0.57687,                0.30102,                0.99873,                 0.0067,                 0.0067,                 0.0067
                    103,                0.57476,                0.38428,                0.99121,                0.95668,                0.96289,                0.98454,                0.84719,                0.57256,                0.30026,                0.99748,               0.006667,               0.006667,               0.006667
                    104,                0.57752,                0.38058,                0.98681,                0.96055,                0.96049,                0.98404,                0.84456,                0.57214,                0.30048,                0.97201,               0.006634,               0.006634,               0.006634
                    105,                0.57368,                0.37514,                0.98408,                 0.9538,                0.96276,                0.98087,                0.84934,                0.56881,                0.30057,                0.96994,               0.006601,               0.006601,               0.006601
                    106,                0.56607,                0.38003,                0.98544,                0.95654,                0.95403,                0.97832,                0.84849,                0.57034,                0.30086,                0.97459,               0.006568,               0.006568,               0.006568
                    107,                 0.5712,                0.37626,                0.98465,                0.96201,                 0.9562,                0.97938,                0.85433,                 0.5688,                0.29941,                0.96019,               0.006535,               0.006535,               0.006535
                    108,                0.56066,                0.37028,                0.97981,                0.95971,                0.95335,                0.97424,                 0.8505,                0.56256,                0.29478,                0.95266,               0.006502,               0.006502,               0.006502
                    109,                0.57655,                0.37489,                0.98419,                0.96427,                0.95497,                0.97876,                 0.8508,                0.56397,                0.28764,                0.94787,               0.006469,               0.006469,               0.006469
                    110,                 0.5652,                0.36711,                0.98427,                0.95507,                0.96315,                0.98018,                0.84284,                0.56524,                0.29504,                0.95916,               0.006436,               0.006436,               0.006436
                    111,                0.57143,                0.38074,                0.99069,                0.95995,                0.95781,                0.97893,                0.84902,                0.57109,                0.29947,                0.96656,               0.006403,               0.006403,               0.006403
                    112,                0.56032,                0.36732,                0.97931,                0.95858,                0.95964,                0.98121,                0.85543,                0.57054,                0.29032,                0.95294,                0.00637,                0.00637,                0.00637
                    113,                0.57119,                0.37445,                0.98422,                0.96512,                0.96158,                0.98152,                0.85278,                0.56876,                0.28806,                0.97068,               0.006337,               0.006337,               0.006337
                    114,                0.56218,                0.37099,                0.97692,                0.96339,                0.95938,                0.98178,                0.85152,                0.56673,                0.28479,                0.96774,               0.006304,               0.006304,               0.006304
                    115,                0.55811,                0.37198,                 0.9768,                0.96424,                0.96502,                0.98272,                0.84688,                0.56833,                0.28377,                 0.9657,               0.006271,               0.006271,               0.006271
                    116,                0.56066,                0.36668,                0.97905,                0.95678,                0.97218,                0.98477,                0.85049,                 0.5667,                0.27828,                0.96344,               0.006238,               0.006238,               0.006238
                    117,                0.55746,                0.38205,                0.97602,                0.95518,                0.97638,                0.98309,                 0.8563,                0.56939,                0.27643,                0.95484,               0.006205,               0.006205,               0.006205
                    118,                0.56181,                0.36835,                0.98167,                0.96179,                0.97431,                0.98039,                0.85317,                0.56824,                0.28129,                0.95548,               0.006172,               0.006172,               0.006172
                    119,                0.56201,                0.37144,                0.98293,                0.96553,                0.97077,                0.97912,                 0.8572,                0.56239,                0.27448,                0.94602,               0.006139,               0.006139,               0.006139
                    120,                0.55337,                0.36083,                0.98089,                0.94717,                0.97552,                0.98041,                0.85778,                0.56384,                0.27866,                0.95945,               0.006106,               0.006106,               0.006106
                    121,                0.55217,                0.36259,                0.97577,                0.96062,                0.96571,                0.98007,                0.85491,                0.56248,                0.27928,                0.96403,               0.006073,               0.006073,               0.006073
                    122,                0.55807,                 0.3684,                0.98434,                0.95885,                0.97423,                0.97783,                0.85178,                0.56744,                0.28535,                 0.9842,                0.00604,                0.00604,                0.00604
                    123,                 0.5503,                0.36239,                0.97616,                0.95839,                0.97763,                0.98264,                0.85274,                0.56366,                0.27866,                 0.9703,               0.006007,               0.006007,               0.006007
                    124,                0.54933,                0.36149,                0.97793,                0.95711,                0.97192,                0.98367,                0.85705,                0.56366,                0.27112,                0.97053,               0.005974,               0.005974,               0.005974
                    125,                  0.554,                0.36226,                0.97483,                0.96382,                0.96116,                0.98515,                0.86058,                0.56411,                0.26977,                0.95563,               0.005941,               0.005941,               0.005941
                    126,                0.55229,                0.36085,                0.97006,                0.95964,                0.96901,                0.98243,                0.85661,                 0.5658,                0.26906,                0.94941,               0.005908,               0.005908,               0.005908
                    127,                0.54638,                0.35409,                0.97078,                0.95421,                0.97894,                0.97978,                0.85454,                0.56749,                0.26994,                0.94794,               0.005875,               0.005875,               0.005875
                    128,                0.55221,                0.36188,                0.96682,                0.95614,                 0.9742,                0.98006,                0.85444,                0.56186,                0.26536,                0.94395,               0.005842,               0.005842,               0.005842
                    129,                0.55275,                0.36537,                0.97661,                0.96116,                0.96401,                0.97853,                0.85363,                0.56079,                0.26554,                0.94216,               0.005809,               0.005809,               0.005809
                    130,                0.54828,                0.34999,                0.97228,                0.96108,                0.96407,                0.97528,                0.85184,                0.56145,                0.26976,                0.93985,               0.005776,               0.005776,               0.005776
                    131,                0.54243,                0.35542,                0.96873,                0.95736,                0.97652,                0.97805,                0.85228,                0.55981,                0.26396,                0.94019,               0.005743,               0.005743,               0.005743
                    132,                0.54824,                0.36259,                0.97696,                0.96871,                0.96673,                0.97822,                0.85379,                0.56015,                0.26398,                0.94386,                0.00571,                0.00571,                0.00571
